math_score,programming_score,creativity_score,communication_score,problem_solving_score,theory_score,interest_tech,interest_arts,interest_business,E_vs_I,S_vs_N,T_vs_F,J_vs_P,career
7,9,1,6,10,5,1,1,0,1,1,1,0,Software Developer
4,1,8,4,6,4,0,1,0,0,0,0,0,Cybersecurity Specialist
8,1,4,4,7,1,1,1,0,0,0,0,1,UI/UX Designer
5,4,4,4,9,5,1,0,0,1,1,0,1,DevOps Engineer
7,9,5,2,1,10,0,0,1,1,0,0,1,Graphic Designer
10,6,8,4,7,5,1,0,1,1,1,1,0,Software Developer
3,3,5,1,8,4,0,0,0,0,1,0,1,Cloud Engineer
7,1,8,6,3,6,1,0,0,0,0,1,1,Cloud Engineer
8,4,10,1,4,10,1,1,1,1,0,1,1,Product Manager
5,9,1,10,10,4,0,1,1,0,0,0,1,Technical Writer
4,3,10,6,6,7,0,1,0,1,0,0,1,Software Developer
8,9,9,1,10,7,0,1,1,1,1,1,0,Research Scientist
8,7,6,6,7,2,0,0,1,0,1,1,1,Cybersecurity Specialist
3,4,3,10,4,3,0,0,0,0,0,0,1,Data Scientist
6,3,8,8,8,1,1,0,1,1,0,0,1,UI/UX Designer
5,10,9,2,5,8,1,1,1,1,1,0,0,Research Scientist
2,5,6,2,1,9,1,0,0,1,1,1,1,Business Analyst
8,5,7,4,4,4,1,1,0,1,1,1,0,Software Developer
6,3,1,3,3,6,1,0,1,0,1,0,0,Data Scientist
2,9,5,4,9,9,1,0,0,1,0,1,1,Data Scientist
5,4,5,7,8,6,1,1,1,1,1,1,1,AI/ML Engineer
1,5,10,1,1,9,0,0,0,1,1,0,1,Cloud Engineer
10,4,4,6,6,4,0,0,1,0,0,0,0,Research Scientist
6,5,6,3,9,8,1,1,0,0,1,1,0,Cloud Engineer
9,7,7,10,7,9,1,0,1,1,1,1,0,AI/ML Engineer
1,9,9,7,4,4,0,1,1,0,0,0,0,DevOps Engineer
10,7,1,10,1,5,0,0,1,0,0,0,0,Business Analyst
3,5,6,2,2,8,0,0,0,0,0,0,0,DevOps Engineer
7,10,7,2,5,10,0,0,0,1,1,0,1,Technical Writer
4,10,3,4,5,6,1,0,1,1,1,0,1,UI/UX Designer
9,7,8,1,8,7,0,0,1,0,0,1,0,Teacher / Lecturer
3,10,5,3,6,3,1,0,0,1,0,1,1,Technical Writer
5,5,9,9,8,7,1,0,0,1,1,1,1,Software Developer
3,3,5,7,2,8,1,0,0,0,0,1,0,Business Analyst
7,7,9,7,3,10,0,1,0,0,0,0,0,DevOps Engineer
5,2,10,4,6,6,0,1,0,1,0,0,1,Software Developer
9,9,4,2,10,10,1,0,0,0,1,0,0,Business Analyst
7,10,9,4,3,9,1,0,1,1,1,1,0,DevOps Engineer
2,10,5,6,6,6,1,1,0,1,1,1,1,Graphic Designer
4,1,10,3,6,9,0,0,1,0,1,1,0,Teacher / Lecturer
9,6,9,1,2,4,1,0,0,1,1,0,1,Technical Writer
2,7,3,8,7,8,0,1,0,1,1,1,1,Product Manager
